# 输出模板：标准名|显示名|分组名
# 用于控制最终输出顺序、显示名称和分组

CCTV-1|CCTV-1 综合|央视
CCTV-2|CCTV-2 财经|央视
CCTV-3|CCTV-3 综艺|央视
CCTV-4|CCTV-4 中文国际|央视
CCTV-5|CCTV-5 体育|央视
CCTV-5+|CCTV-5+ 体育赛事|央视
CCTV-6|CCTV-6 电影|央视
CCTV-7|CCTV-7 国防军事|央视
CCTV-8|CCTV-8 电视剧|央视
CCTV-9|CCTV-9 纪录|央视
CCTV-10|CCTV-10 科教|央视
CCTV-11|CCTV-11 戏曲|央视
CCTV-12|CCTV-12 社会与法|央视
CCTV-13|CCTV-13 新闻|央视
CCTV-14|CCTV-14 少儿|央视
CCTV-15|CCTV-15 音乐|央视
CCTV-16|CCTV-16 奥林匹克|央视
CCTV-17|CCTV-17 农业农村|央视

湖南卫视|湖南卫视|卫视
浙江卫视|浙江卫视|卫视
江苏卫视|江苏卫视|卫视
东方卫视|东方卫视|卫视
北京卫视|北京卫视|卫视
广东卫视|广东卫视|卫视
深圳卫视|深圳卫视|卫视
安徽卫视|安徽卫视|卫视
山东卫视|山东卫视|卫视
河南卫视|河南卫视|卫视
湖北卫视|湖北卫视|卫视
四川卫视|四川卫视|卫视
重庆卫视|重庆卫视|卫视
辽宁卫视|辽宁卫视|卫视
吉林卫视|吉林卫视|卫视
黑龙江卫视|黑龙江卫视|卫视
河北卫视|河北卫视|卫视
山西卫视|山西卫视|卫视
陕西卫视|陕西卫视|卫视
甘肃卫视|甘肃卫视|卫视
青海卫视|青海卫视|卫视
宁夏卫视|宁夏卫视|卫视
新疆卫视|新疆卫视|卫视
西藏卫视|西藏卫视|卫视
内蒙古卫视|内蒙古卫视|卫视
云南卫视|云南卫视|卫视
贵州卫视|贵州卫视|卫视
广西卫视|广西卫视|卫视
海南卫视|海南卫视|卫视
江西卫视|江西卫视|卫视
福建卫视|福建卫视|卫视
东南卫视|东南卫视|卫视
天津卫视|天津卫视|卫视

无锡|无锡|城市
苏州|苏州|城市
上海|上海|城市
杭州|杭州|城市
北京|北京|城市
南京|南京|城市
四川|四川|城市

翡翠台|翡翠台|港澳
明珠台|明珠台|港澳
凤凰卫视中文台|凤凰卫视中文台|港澳
凤凰卫视资讯台|凤凰卫视资讯台|港澳

中视|中视|台
台视|台视|台
华视|华视|台
民视|民视|台
公视|公视|台
TVBS|TVBS|台
东森新闻|东森新闻|台
中天新闻|中天新闻|台
三立新闻|三立新闻|台

NHK|NHK|日本
NHK World|NHK World|日本
东京电视台|东京电视台|日本
富士电视台|富士电视台|日本
朝日电视台|朝日电视台|日本
TBS|TBS|日本
日本电视台|日本电视台|日本

KBS|KBS|韩国
MBC|MBC|韩国
SBS|SBS|韩国
TVN|TVN|韩国
JTBC|JTBC|韩国
Arirang|Arirang|韩国

CNN|CNN|美国
Fox News|Fox News|美国
ABC|ABC|美国
NBC|NBC|美国
CBS|CBS|美国
HBO|HBO|美国
ESPN|ESPN|美国

BBC News|BBC News|英国
BBC One|BBC One|英国
BBC Two|BBC Two|英国
Sky News|Sky News|英国

France 24|France 24|欧洲
Eurosport|Eurosport|欧洲
DW|DW|欧洲
Euronews|Euronews|欧洲

Al Jazeera|Al Jazeera|国际
Russia Today|Russia Today|国际
CGTN|CGTN|国际
Discovery|Discovery|国际
National Geographic|National Geographic|国际
